้,้
ผู้สํ,ผู้สํ
า,า
เ,เ
ร็,ร็
จ,จ
ร,ร
า,า
ช,ช
ก,ก
า,า
ร,ร
เ,เ
เ,เ
ท,ท
น,น
พ,พ
ร,ร
ะ,ะ
อ,อ
ง,ง
ค์,ค์
ซึ่,ซึ่
ง,ง
ไ,ไ
ด้,ด้้้
รับ,รับ
ก,ก
า,า
ร,ร
เ,เ
เ,เ
ต่,ต่
ง,ง
ตั้งไ,ตั้งไ
ว้,ว้
เ,เ
เ,เ
ล้ว,ล้ว
ะ,ะ
เ,เ
ป็,ป็
น,น
ผู้,ผู้
สํ,สํ
า,า
เ,เ
ร็,ร็
จ,จ
ร,ร
า,า
ช,ช
ก,ก
า,า
ร,ร
เ,เ
เ,เ
ท,ท
น,น
พ,พ
ร,ร
ะ,ะ
อ,อ
ง,ง
ค์,ค์์
ต่,ต่
อไ,อไ
ป,ป
ต,ต
า,า
ม,ม
ว,ว
ร,ร
ร,ร
ค,ค
ห,ห
นึ่,นึ่
ง,ง
ไ,ไ
ม่,ม่
ส,ส
า,า
ม,ม
า,า
ร,ร
ถ,ถ
ป,ป
ฏิ,ฏิ
บัติ,บัติ
ห,ห
น้,น้
า,า
ที่,ที่
ไ,ไ
ด้,ด้
ใ,ใ
ห้ป,ห้ป
ร,ร
ะ,ะ
ธ,ธ
า,า
น,น
อ,อ
ง,ง
ค,ค
ม,ม
น,น
ตรี,ตรี
ทํ,ทํ
า,า
ห,ห
น้า,น้า
ที่,ที่
ผู้,ผู้
สํ,สํ
า,า
เ,เ
ร็,ร็
จ,จ
ร,ร
า,า
ช,ช
ก,ก
า,า
ร,ร
เ,เ
เ,เ
ท,ท
น,น
พ,พ
ร,ร
ะ,ะ
อ,อ
ง,ง
ค์,ค์
เ,เ
ป็,ป็
น,น
ก,ก
า,า
ร,ร
ชั่ว,ชั่ว
ค,ค
ร,ร
า,า
ว,ว
ไ,ไ
ป,ป
พ,พ
ล,ล
า,า
ง,ง
ก่,ก่
อ,อ
น,น
ใ,ใ
น,น
ก,ก
ร,ร
ณี,ณี
ที่,ที่
ป,ป
ร,ร
ะ,ะ
ธ,ธ
า,า
น,น
อ,อ
ง,ง
ค,ค
ม,ม
น,น
ต,ต
รี,รี
เ,เ
ป็,ป็
น,น
ผู้,ผู้
สํ,สํ
า,า
เ,เ
ร็,ร็
จ,จ
ร,ร
า,า
ช,ช
ก,ก
า,า
ร,ร
เ,เ
เ,เ
ท,ท
น,น
พ,พ
ร,ร
ะ,ะ
อ,อ
ง,ง
ค์,ค์
ต,ต
า,า
ม,ม
ว,ว
ร,ร
ร,ร
ค,ค
ห,ห
นึ่,นึ่
ง,ง
ห,ห
รื,รื
อ,อ
ทํ,ทํ
า,า
ห,ห
น้,น้
า,า
ที่,ที่
ผู้,ผู้
สํ,สํ
า,า
เ,เ
ร็,ร็
จ,จ
ร,ร
า,า
ช,ช
ก,ก
า,า
ร,ร
เ,เ
เ,เ
ท,ท
น,น
พ,พ
ร,ร
ะ,ะ
อ,อ
ง,ง
ค์,ค์
เ,เ
ป็,ป็
น,น
ก,ก
า,า
ร,ร
ชั่ว,ชั่ว
ค,ค
ร,ร
า,า
ว,ว
ต,ต
า,า
ม,ม
ว,ว
ร,ร
ร,ร
ค,ค
ส,ส
อ,อ
ง,ง
ใ,ใ
ห้นํ,ห้นํ
า,า
ม,ม
า,า
ต,ต
ร,ร
า,า
๑,๑
๘,๘
ว,ว
ร,ร
ร,ร
ค,ค
ส,ส
า,า
ม,ม
ม,ม
า,า
ใ,ใ
ช้บัง,ช้บัง
คับ,คับ
ม,ม
า,า
ต,ต
ร,ร
า,า
๒,๒
๓,๓
ใ,ใ
น,น
ก,ก
ร,ร
ณี,ณี
ที่,ที่
ค,ค
ณ,ณ
ะ,ะ
อ,อ
ง,ง
ค,ค
ม,ม
น,น
ต,ต
รี,รี
จ,จ
ะ,ะ
ต้,ต้
อ,อ
ง,ง
ป,ป
ฏิ,ฏิ
บัติ,บัติ
ห,ห
น้,น้
า,า
ที่,ที่
ต,ต
า,า
ม,ม
ม,ม
า,า
ต,ต
ร,ร
า,า
๑,๑
๗,๗
ห,ห
รื,รื
อ,อ
ม,ม
า,า
ต,ต
ร,ร
า,า
๒,๒
๑,๑
ว,ว
ร,ร
ร,ร
ค,ค
ส,ส
อ,อ
ง,ง
หรื,หรื
อ,อ
ป,ป
ร,ร
ะ,ะ
ธ,ธ
า,า
น,น
อ,อ
ง,ง
ค,ค
ม,ม
น,น
ต,ต
รี,ร๊
จ,จ
ะ,ะ
ต้,ต้
อ,อ
ง,ง
เ,เ
ป็,ป็
น,น
ห,ห
รื,รื
อ,อ
ทํ,ทํ
า,า
ห,ห
น้,น้
า,า
ที่,ที่
ผู้,ผู้
สํ,สํ
า,า
เ,เ
ร็,ร็
จ,จ
ร,ร
า,า
ช,ช
ก,ก
า,า
ร,ร
เ,เ
เ,เ
ท,ท
น,น
พ,พ
ร,ร
ะ,ะ
อ,อ
ง,ง
ค์,ค์
ต,ต
า,า
ม,ม
ม,ม
า,า
ต,ต
ร,ร
า,า
๑,๑
๘,๘
ว,ว
ร,ร
ร,ร
ค,ค
ห,ห
นึ่,นึ่
ง,ง
ห,ห
รื,รื
อ,อ
ว,ว
ร,ร
ร,ร
ค,ค
ส,ส
อ,อ
ง,ง
ห,ห
รื,รื
อ,อ
ม,ม
า,า
ต,ต
ร,ร
า,า
๒,๒
๒,๒
ว,ว
ร,ร
ร,ร
ค,ค
ส,ส
อ,อ
ง,ง
เ,เ
เ,เ
ล,ล
ะ,ะ
อ,อ
ยู่,ยู่
ใ,ใ
น,น
ร,ร
ะ,ะ
ห,ห
ว่,ว่
า,า
ง,ง
ที่,ที่
ไ,ไ
ม่,ม่
มี,มี
ป,ป
ร,ร
ะ,ะ
ธ,ธ
า,า
น,น
อ,อ
ง,ง
ค,ค
ม,ม
น,น
ต,ต
รี,รี
ห,ห
รื,รื
อ,อ
มี,มี
เ,เ
เ,เ
ต่,ต่
ไ,ไ
ม่,ม่
ส,ส
า,า
ม,ม
า,า
ร,ร
ถ,ถ
ป,ป
ฏิ,ฏิ
บั,บั
ติ,ติ
ห,ห
น้,น้
า,า
ที่,ที่
ไ,ไ
ด้,ด้
ใ,ใ
ห้,ห้
ค,ค
ณ,ณ
ะ,ะ
อ,อ
ง,ง
ค,ค
ม,ม
น,น
ต,ต
รี,รี
ที่,ที่
เ,เ
ห,ห
ลื,ลื
อ,อ
อ,อ
ยู่,ยู่
เ,เ
ลื,ลื
อ,อ
ก,ก
อ,อ
ง,ง
ค,ค
ม,ม
น,น
ต,ต
รี,รี
ค,ค
น,น
ห,ห
นึ่,นึ่
ง,ง
เ,เ
พื่,พื่
อ,อ
ทํ,ทํ
า,า
ห,ห
น้,น้
า,า
ที่,ที่
ป,ป
ร,ร
ะ,ะ
ธ,ธ
า,า
น,น
อ,อ
ง,ง
ค,ค
ม,ม
น,น
ต,ต
รี,รี
ห,ห
รื,รื
อ,อ
เ,เ
ป็,ป็
น,น
ห,ห
รื,รื
อ,อ
ทํ,ทํ
า,า
ห,ห
น้,น้
า,า
ที่,ที่
ผู้,ผู้
สํ,สํ
า,า
เ,เ
ร็,ร็
จ,จ
ร,ร
า,า
ช,ช
ก,ก
า,า
ร,ร
เ,เ
เ,เ
ท,ท
น,น
พ,พ
ร,ร
ะ,ะ
อ,อ
ง,ง
ค์,ค์
ต,ต
า,า
ม,ม
ม,ม
า,า
ต,ต
ร,ร
า,า
๑,๑
๘,๘
ว,ว
ร,ร
ร,ร
ค,ค
ห,ห
นึ่,นึ่
ง,ง
ห,ห
รื,รื
อ,อ
ว,ว
ร,ร
ร,ร
ค,ค
ส,ส
อ,อ
ง,ง
หรื,หรื
อ,อ
ต,ต
า,า
ม,ม
ม,ม
า,า
ต,ต
ร,ร
า,า
๒,๒
๒,๒
ว,ว
ร,ร
ร,ร
ค,ค
ส,ส
อ,อ
ง,ง
เ,เ
เ,เ
ล้ว,ล้ว
เ,เ
เ,เ
ต่,ต่
ก,ก
ร,ร
ณี,ณี
ม,ม
า,า
ต,ต
ร,ร
า,า
๒,๒
๔,๔
ก,ก
า,า
ร,ร
ถ,ถ
ว,ว
า,า
ย,ย
สัต,สัต
ย์,ย์
ป,ป
ฏิ,ฏิ
ญ,ญ
า,า
ณ,ณ
ต่,ต่
อ,อ
พ,พ
ร,ร
ะ,ะ
ม,ม
ห,ห
า,า
ก,ก
ษั,ษั
ต,ต
ริ,ริ
ย์,ย์
ต,ต
า,า
ม,ม
รัฐ,รัฐ
ธ,ธ
ร,ร
ร,ร
ม,ม
นู,นู
ญ,ญ
ห,ห
รื,รื
อ,อ
ก,ก
ฎ,ฎ
ห,ห
ม,ม
า,า
ย,ย
พ,พ
ร,ร
ะ,ะ
ม,ม
ห,ห
า,า
ก,ก
ษั,ษั
ต,ต
ริ,ริ
ย์,ย์
จ,จ
ะ,ะ
โ,โ
ป,ป
ร,ร
ด,ด
เ,เ
ก,ก
ล้,ล้
า,า
โ,โ
ป,ป
ร,ร
ด,ด
ก,ก
ร,ร
ะ,ะ
ห,ห
ม่,ม่
อ,อ
ม,ม
ใ,ใ
ห้,ห้
ก,ก
ร,ร
ะ,ะ
ทํ,ทํ
า,า
ต่,ต่
อ,อ
พ,พ
ร,ร
ะ,ะ
รัช,รัช
ท,ท
า,า
ย,ย
า,า
ท,ท
ซึ่,ซึ่
ง,ง
ท,ท
ร,ร
ง,ง
บ,บ
ร,ร
ร,ร
ลุ,ลุ
นิ,นิ
ติ,ติ
ภ,ภ
า,า
ว,ว
ะ,ะ
เ,เ
เ,เ
ล้,ล้
ว,ว
ห,ห
รื,รื
อ,อ
ต่,ต่
อ,อ
ผู้,ผู้
เ,เ
เ,เ
ท,ท
น,น
พ,พ
ร,ร
ะ,ะ
อ,อ
ง,ง
ค์,ค์
ก็,ก็
ไ,ไ
ด้,ด้
ใ,ใ
น,น
ร,ร
ะ,ะ
ห,ห
ว่,ว่
า,า
ง,ง
ที่,ที่
ยั,ยั
ง,ง
มิ,มิ
ไ,ไ
ด้,ด้
ถ,ถ
ว,ว
า,า
ย,ย
สัต,สัต
ย์,ย์
ป,ป
ฏิ,ฏิ
ญ,ญ
า,า
ณ,ณ
ต,ต
า,า
ม,ม
ว,ว
ร,ร
ร,ร
ค,ค
ห,ห
นึ่,นึ่
ง,ง
จ,จ
ะ,ะ
โ,โ
ป,ป
ร,ร
ด,ด
เ,เ
ก,ก
ล้,ล้
า,า
โ,โ
ป,ป
ร,ร
ด,ด
ก,ก
ร,ร
ะ,ะ
ห,ห
ม่,ม่
อ,อ
ม,ม
ใ,ใ
ห้,ห้
ผู้,ผู้
ซึ่,ซึ่
ง,ง
ต้,ต้
อ,อ
ง,ง
ถ,ถ
ว,ว
า,า
ย,ย
สัต,สัต
ย์,ย์
ป,ป
ฏิ,ฏิ
ญ,ญ
า,า
ณ,ณ
ป,ป
ฏิ,ฏิ
บัติ,บัติ
ห,ห
น้า,น้า
ที่,ที่
ไ,ไ
ป,ป
พ,พ
ล,ล
า,า
ง,ง
ก่,ก่
อ,อ
น,น
ก็,ก็
ไ,ไ
ด้,ด้
ห,ห
ม,ม
ว,ว
ด,ด
๓,๓
สิ,สิ
ท,ท
ธิ,ธิ
เ,เ
เ,เ
ล,ล
ะ,ะ
เ,เ
ส,ส
รี,รี
ภ,ภ
า,า
พ,พ
ข,ข
อ,อ
ง,ง
ป,ป
ว,ว
ง,ง
ช,ช
น,น
ช,ช
า,า
ว,ว
ไ,ไ
ท,ท
ย,ย
ม,ม
า,า
ต,ต
ร,ร
า,า
๒,๒
๕,๕
สิ,สิ
ท,ท
ธิ,ธิ
เ,เ
เ,เ
ล,ล
ะ,ะ
เ,เ
ส,ส
รี,รี
ภ,ภ
า,า
พ,พ
ข,ข
อ,อ
ง,ง
ป,ป
ว,ว
ง,ง
ช,ช
น,น
ช,ช
า,า
วไท,วไท
ย,ย
น,น
อ,อ
ก,ก
จ,จ
า,า
ก,ก
ที่,ที่
บัญ,บัญ
ญัติ,ญัติ
คุ้ม,คุ้ม
ค,ค
ร,ร
อ,อ
ง,ง
ไว้,ไว้
เ,เ
ป็,ป็
น,น
ก,ก
า,า
ร,ร
เ,เ
ฉ,ฉ
พ,พ
า,า
ะ,ะ
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
อ,อ
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
 ,blank
เ,เ
ช่,ช่
น,น
ว่,ว่
า,า
นั้นไ,นั้นไ
ม่,ม่
ก,ก
ร,ร
ะ,ะ
ท,ท
บ,บ
ก,ก
ร,ร
ะ,ะ
เ,เ
ทื,ทื
อ,อ
น,น
หรื,หรื
อ,อ
เ,เ
ป็,ป็
น,น
อัน,อัน
ต,ต
ร,ร
า,า
ย,ย
ต่,ต่
อ,อ
ค,ค
ว,ว
า,า
ม,ม
มั่น,มั่น
ค,ค
ง,ง
ข,ข
อ,อ
ง,ง
รัฐ,รัฐ
ค,ค
ว,ว
า,า
ม,ม
ส,ส
ง,ง
บ,บ
เรี,เรี
ย,ย
บ,บ
ร้,ร้
อ,อ
ย,ย
ห,ห
รื,รื
อ,อ
ศี,ศี
ล,ล
ธ,ธ
ร,ร
ร,ร
ม,ม
อัน,อัน
ดี,ดี
ข,ข
อ,อ
ง,ง
ป,ป
ร,ร
ะ,ะ
ช,ช
า,า
ช,ช
น,น
เ,เ
เ,เ
ล,ล
ะ,ะ
ไ,ไ
ม่,ม่
ล,ล
ะ,ะ
เ,เ
มิ,มิ
ด,ด
สิ,สิ
ท,ท
ธิ,ธิ
ห,ห
รื,รื
อ,อ
เ,เ
ส,ส
รี,รี
ภ,ภ
า,า
พ,พ
ข,ข
อ,อ
ง,ง
บุ,บุ
ค,ค
ค,ค
ล,ล
อื่,อื่
น,น
